epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.041,0.67977,1.98842,0.94414,0.54554,0.68885,0.55353,0.47191,0.53535,1.25235,0.84543,0.000469982,0.000469982,0.000469982
2,665.739,0.59057,1.06833,0.88949,0.46155,0.71664,0.5298,0.46001,0.51407,1.26732,0.84407,0.000927579,0.000927579,0.000927579
3,1014.56,0.57206,0.97905,0.88759,0.56097,0.75075,0.60192,0.52591,0.52818,0.92952,0.86879,0.00136631,0.00136631,0.00136631
4,1373.62,0.55111,0.93259,0.88751,0.54896,0.79784,0.60898,0.53621,0.48656,0.84206,0.85347,0.00134412,0.00134412,0.00134412
5,1656.62,0.52132,0.87458,0.87869,0.5978,0.80711,0.6263,0.5519,0.47974,0.80051,0.86207,0.00131582,0.00131582,0.00131582
